library,url,paradigm,modality,framework,method_category,scope,model_agnostic,description_en,stars,last_updated,active,topics,note
Explainer Dashboard,https://github.com/oegedijk/explainerdashboard,Classic XAI,"Tabular, Images, Text","scikit-learn, skorch","Attribution, SHAP, Feature Importance",Both,Yes,"Quickly build Explainable AI dashboards that show the inner workings of so-called ""blackbox"" machine learning models.",2503.0,2026-02-11,Yes,"dash, dashboard, data-scientists, explainer, inner-workings, interactive-dashboards, interactive-plots, model-predictions, permutation-importances, plotly, shap, shap-values, xai, xai-library",
skater,https://github.com/GapData/skater,Classic XAI,"Tabular, Images, Text","scikit-learn, XGBoost, Keras","Attribution, Feature Importance",Both,Yes,Python Library for Model Interpretation/Explanations,4.0,2023-03-21,No,,Low activity fork; original oracle/Skater removed
graphviz-ML,https://github.com/MrColoratus/graphviz-ML,Classic XAI,Tabular,"scikit-learn, SciPy",Feature Importance,Global,No,The machine learning part of the Graphviz project,0.0,2019-06-14,No,,
TSInterpret,https://github.com/fzi-forschungszentrum-informatik/TSInterpret,Classic XAI,Time Series,"pytorch, tensorflow, sklearn","Attribution, Counterfactual, LIME",Local,Yes,An Open-Source Library for the interpretability of time series classifiers,142.0,2025-11-19,Yes,"counterfactual-explanations, explainable-ai, explainable-artificial-intelligence, explainable-ml, feature-attribution, interpretability, interpretable-machine-learning, interpretable-ml, time-series",
TimeInterpret,https://github.com/josephenguehard/time_interpret,Classic XAI,Time Series,pytorch,"Attribution, Gradient",Local,No,Unified Model Interpretability Library for Time Series,72.0,2026-05-18,Yes,"machine-learning, time-series, xai",
TSCaptum,https://github.com/mlgig/tscaptum,Classic XAI,Time Series,pytorch,"Attribution, Gradient",Local,No,A Captum wrapper for Time Series XAI,12.0,2024-11-27,Yes,,
PnPXAI,https://github.com/OpenXAIProject/pnpxai,Classic XAI,"Tabular, Images, Text, Time Series",pytorch,"Attribution, SHAP, LIME, Gradient, Evaluation Metrics",Both,Yes,PnPXAI Framework: Simplifying AI Model Explanations with Algorithm Recommendation and Automatic Optimization,87.0,2025-12-18,Yes,,
DHook,https://github.com/Xmaster6y/tdhook,Hybrid,"Images, Text, Multimodal",pytorch,"Attribution, Gradient, LRP, Grad-CAM, Probing, Activation Patching, SAE",Both,No,🤖🪝Interpretability with tensordict and torch hooks.,12.0,2026-04-16,Yes,,
ICX360,https://github.com/IBM/ICX360,Classic XAI,"Text, LLM",transformers,"Attribution, Contrastive",Local,Yes,In-Context Explainability 360 toolkit,70.0,2026-03-09,Yes,,
Interpreto,https://github.com/FOR-sight-ai/interpreto,Hybrid,"Text, LLM",transformers,"Attribution, Gradient, SHAP, Concept-based, SAE",Both,No,🪄 Interpreto is an interpretability toolbox for LLMs,192.0,2026-07-22,Yes,"explainable-ai, interpretability, llms, xai",
TransformerLens,https://github.com/TransformerLensOrg/TransformerLens,Mechanistic,LLM,pytorch,"Circuit Analysis, Activation Patching, Logit Lens, Attention Analysis",Both,No,A library for mechanistic interpretability of GPT-style language models,3710.0,2026-07-23,Yes,,
SAELens,https://github.com/jbloomAus/SAELens,Mechanistic,LLM,pytorch,SAE,Both,No,Training Sparse Autoencoders on Language Models,1483.0,2026-07-20,Yes,,
Neuronpedia,https://github.com/hijohnnylin/neuronpedia,Mechanistic,LLM,pytorch,SAE,Both,No,open source interpretability platform 🧠,1078.0,2026-07-17,,,"Platform / explorer for SAE features, not a pip package"
Prisma,https://github.com/Prisma-Multimodal/ViT-Prisma,Mechanistic,"Images, Multimodal",pytorch,"Circuit Analysis, Activation Patching, SAE, Logit Lens, Attention Analysis",Both,No,ViT Prisma is a mechanistic interpretability library for Vision and Video Transformers (ViTs).,380.0,2025-07-23,Yes,,
pyvene,https://github.com/stanfordnlp/pyvene,Mechanistic,"LLM, Text","pytorch, transformers","Activation Patching, Causal Tracing, Probing",Both,No,Stanford NLP Python library for understanding and improving PyTorch models via interventions,892.0,2026-03-06,Yes,"activation-intervention, activation-patching, interpretability, intervention, mechanistic-interpretability",
repeng,https://github.com/vgel/repeng,Mechanistic,LLM,"pytorch, transformers",Steering Vectors,Global,No,A library for making RepE control vectors,744.0,2025-09-24,Yes,"language-model, machine-learning, representation-engineering, sae, saes, sparse-autoencoder, sparse-autoencoders, transformers",
pyreft,https://github.com/stanfordnlp/pyreft,Mechanistic,LLM,"pytorch, transformers",Steering Vectors,Global,No,Stanford NLP Python library for Representation Finetuning (ReFT),1574.0,2026-03-05,Yes,"interpretability, reft, representation-finetuning",
EasyEdit,https://github.com/zjunlp/EasyEdit,Mechanistic,LLM,"pytorch, transformers",Knowledge Editing,Global,No,[ACL 2024] An Easy-to-use Knowledge Editing Framework for LLMs.,2883.0,2026-07-14,Yes,"artificial-intelligence, baichuan, chatgpt, cknowedit, easyedit, easyedit2, efficient, gpt, knowedit, knowledge-editing, knowlm, large-language-models, llama, mmedit, model-editing, natural-language-processing, safeedit, tool, trustworthy-ai, unlearning",
EasySteer,https://github.com/ZJU-REAL/EasySteer,Mechanistic,LLM,"pytorch, transformers",Steering Vectors,Global,No,A Unified Framework for High-Performance and Extensible LLM Steering,288.0,2026-04-30,Yes,,
NNsight,https://github.com/ndif-team/nnsight,Mechanistic,"LLM, Images, Multimodal","pytorch, transformers","Activation Patching, Probing",Both,No,The nnsight package enables interpreting and manipulating the internals of deep learned models.,998.0,2026-07-23,Yes,"interpretability, machine-learning, neural-networks, python, pytorch",
SMDS,https://github.com/UKPLab/supervised-multidimensional-scaling,Mechanistic,"LLM, Multimodal","scikit-learn, pytorch","Feature Manifold Discovery, Dimensionality Reduction",Global,Yes,"Plug-and-play implementation of Supervised Multi-Dimensional Scaling from the paper ""Shape Happens: Automatic Feature Manifold Discovery in LLMs via Supervised Multi-Dimensional Scaling.""",9.0,2026-04-26,Yes,"interpretability, mechanistic-interpretability, dimensionality-reduction, llm, manifold",Paper arXiv:2510.01025 (2025)
circuit-tracer,https://github.com/safety-research/circuit-tracer,Mechanistic,LLM,"pytorch, transformers","Circuit Analysis, Attribution Graphs, Transcoders",Both,No,,2873.0,2026-07-18,Yes,"interpretability, mechanistic-interpretability, circuits, transcoders, attribution-graphs",BlackboxNLP 2025
sparsify,https://github.com/EleutherAI/sparsify,Mechanistic,LLM,"pytorch, transformers","SAE, Transcoders",Both,No,Sparsify transformers with SAEs and transcoders,734.0,2026-07-20,Yes,"interpretability, sparse-autoencoders, transcoders",
delphi,https://github.com/EleutherAI/delphi,Mechanistic,LLM,"pytorch, transformers","Automated Interpretability, SAE Feature Explanation",Both,No,"Delphi was the home of a temple to Phoebus Apollo, which famously had the inscription, 'Know Thyself.' This library lets language models know themselves through automated interpretability.",268.0,2026-07-20,Yes,"interpretability, automated-interpretability, sparse-autoencoders",
Llamascopium,https://github.com/OpenMOSS/Llamascopium,Mechanistic,LLM,"pytorch, transformers",SAE,Both,No,"Performant framework for training, analyzing and visualizing Sparse Autoencoders (SAEs) and their frontier variants.",223.0,2026-07-22,Yes,"interpretability, sparse-autoencoders, mechanistic-interpretability",Formerly Language-Model-SAEs / lm-saes
Penzai,https://github.com/google-deepmind/penzai,Mechanistic,"LLM, Multimodal",JAX,"Model Visualization, Activation Patching, Probing",Both,No,"A JAX research toolkit for building, editing, and visualizing neural networks.",1892.0,2025-06-22,Yes,"jax, interpretability, neural-networks, visualization",
CircuitKIT,https://github.com/Lexsi-Labs/CircuitKIT,Mechanistic,LLM,"pytorch, transformers, TransformerLens","Circuit Analysis, Attribution, Activation Patching, Knowledge Editing, Steering Vectors",Both,No,"Discover, evaluate, and intervene on circuits in transformer models.",13.0,2026-07-20,Yes,"interpretability, mechanistic-interpretability, circuits, circuit-discovery, transformers",Paper arXiv:2607.19317 (2026); Lexsi Labs
Inseq,https://github.com/inseq-team/inseq,Classic XAI,"LLM, Text","pytorch, transformers, captum","Attribution, Gradient, Integrated Gradients, Attention Visualization",Local,Yes,Interpretability for sequence generation models 🐛 🔍,471.0,2026-04-25,Yes,"interpretability, feature-attribution, nlp, transformers, sequence-generation",Paper arXiv:2302.13942 (ACL 2023)
Auto-Circuit,https://github.com/UFO-101/auto-circuit,Mechanistic,LLM,"pytorch, transformers, TransformerLens","Circuit Analysis, Activation Patching, Attribution",Both,No,A library for efficient patching and automatic circuit discovery.,99.0,2025-12-31,No,"interpretability, mechanistic-interpretability, circuits, circuit-discovery, activation-patching, transformers",EAP/EAP-IG + ACDC discovery; predecessor to CircuitKIT. Last release Aug 2024
